 iv  ih    lon_min    lon_max   lat_min   lat_max
  4  22    52.2163    77.7862   40.0000   50.0000
  4  23    65.2704    93.3434   40.0000   50.0000
  4  24    78.3244   108.9007   40.0000   50.0000
  4  25    91.3785   124.4579   40.0000   50.0000
  4  26   104.4326   140.0151   40.0000   50.0000
  4  27   117.4867   155.5724   40.0000   50.0000
  4  28   130.5407   171.1296   40.0000   50.0000
  4  29   143.5948   180.0000   40.0000   50.0000
  4  30   156.6489   180.0000   40.0000   50.0000
  4  31   169.7029   180.0000   40.0000   43.7583
  4  32  -999.0000  -999.0000  -99.0000  -99.0000
  4  33  -999.0000  -999.0000  -99.0000  -99.0000
  4  34  -999.0000  -999.0000  -99.0000  -99.0000
  4  35  -999.0000  -999.0000  -99.0000  -99.0000
  5   0  -999.0000  -999.0000  -99.0000  -99.0000
  5   1  -999.0000  -999.0000  -99.0000  -99.0000
  5   2  -180.0000  -173.2051   30.0000   33.5542
  5   3  -180.0000  -161.6581   30.0000   40.0000
  5   4  -180.0000  -150.1111   30.0000   40.0000
  5   5  -169.7029  -138.5641   30.0000   40.0000
  5   6  -156.6489  -127.0171   30.0000   40.0000
  5   7  -143.5948  -115.4701   30.0000   40.0000
  5   8  -130.5407  -103.9231   30.0000   40.0000
  5   9  -117.4867   -92.3760   30.0000   40.0000
  5  10  -104.4326   -80.8290   30.0000   40.0000
  5  11   -91.3785   -69.2820   30.0000   40.0000
  5  12   -78.3244   -57.7350   30.0000   40.0000
  5  13   -65.2704   -46.1880   30.0000   40.0000
  5  14   -52.2163   -34.6410   30.0000   40.0000
  5  15   -39.1622   -23.0940   30.0000   40.0000
  5  16   -26.1081   -11.5470   30.0000   40.0000
  5  17   -13.0541     0.0000   30.0000   40.0000
  5  18     0.0000    13.0541   30.0000   40.0000
  5  19    11.5470    26.1081   30.0000   40.0000
  5  20    23.0940    39.1622   30.0000   40.0000
  5  21    34.6410    52.2163   30.0000   40.0000
  5  22    46.1880    65.2704   30.0000   40.0000
  5  23    57.7350    78.3244   30.0000   40.0000
  5  24    69.2820    91.3785   30.0000   40.0000
  5  25    80.8290   104.4326   30.0000   40.0000
  5  26    92.3760   117.4867   30.0000   40.0000
  5  27   103.9231   130.5407   30.0000   40.0000
  5  28   115.4701   143.5948   30.0000   40.0000
  5  29   127.0171   156.6489   30.0000   40.0000
  5  30   138.5641   169.7029   30.0000   40.0000
  5  31   150.1111   180.0000   30.0000   40.0000
  5  32   161.6581   180.0000   30.0000   40.0000
  5  33   173.2051   180.0000   30.0000   33.5542
  5  34  -999.0000  -999.0000  -99.0000  -99.0000
  5  35  -999.0000  -999.0000  -99.0000  -99.0000
  6   0  -999.0000  -999.0000  -99.0000  -99.0000
  6   1  -180.0000  -170.2684   19.1875   30.0000
  6   2  -180.0000  -159.6267   20.0000   30.0000
  6   3  -173.2051  -148.9849   20.0000   30.0000
  6   4  -161.6581  -138.3431   20.0000   30.0000
  6   5  -150.1111  -127.7013   20.0000   30.0000
  6   6  -138.5641  -117.0596   20.0000   30.0000
  6   7  -127.0171  -106.4178   20.0000   30.0000
  6   8  -115.4701   -95.7760   20.0000   30.0000
  6   9  -103.9231   -85.1342   20.0000   30.0000
  6  10   -92.3760   -74.4924   20.0000   30.0000
  6  11   -80.8290   -63.8507   20.0000   30.0000
  6  12   -69.2820   -53.2089   20.0000   30.0000
  6  13   -57.7350   -42.5671   20.0000   30.0000
  6  14   -46.1880   -31.9253   20.0000   30.0000
  6  15   -34.6410   -21.2836   20.0000   30.0000
  6  16   -23.0940   -10.6418   20.0000   30.0000
  6  17   -11.5470     0.0000   20.0000   30.0000
  6  18     0.0000    11.5470   20.0000   30.0000
  6  19    10.6418    23.0940   20.0000   30.0000
  6  20    21.2836    34.6410   20.0000   30.0000
  6  21    31.9253    46.1880   20.0000   30.0000
  6  22    42.5671    57.7350   20.0000   30.0000
  6  23    53.2089    69.2820   20.0000   30.0000
  6  24    63.8507    80.8290   20.0000   30.0000
  6  25    74.4924    92.3760   20.0000   30.0000
  6  26    85.1342   103.9231   20.0000   30.0000
  6  27    95.7760   115.4701   20.0000   30.0000
  6  28   106.4178   127.0171   20.0000   30.0000
  6  29   117.0596   138.5641   20.0000   30.0000
  6  30   127.7013   150.1111   20.0000   30.0000
  6  31   138.3431   161.6581   20.0000   30.0000
  6  32   148.9849   173.2051   20.0000   30.0000
  6  33   159.6267   180.0000   20.0000   30.0000
  6  34   170.2684   180.0000   19.1875   30.0000
  6  35  -999.0000  -999.0000  -99.0000  -99.0000
  7   0  -180.0000  -172.6225   10.0000   20.0000
  7   1  -180.0000  -162.4683   10.0000   20.0000
  7   2  -170.2684  -152.3140   10.0000   20.0000
  7   3  -159.6267  -142.1597   10.0000   20.0000
  7   4  -148.9849  -132.0055   10.0000   20.0000
  7   5  -138.3431  -121.8512   10.0000   20.0000
  7   6  -127.7013  -111.6969   10.0000   20.0000
  7   7  -117.0596  -101.5427   10.0000   20.0000
  7   8  -106.4178   -91.3884   10.0000   20.0000
  7   9   -95.7760   -81.2341   10.0000   20.0000
  7  10   -85.1342   -71.0799   10.0000   20.0000
  7  11   -74.4924   -60.9256   10.0000   20.0000
  7  12   -63.8507   -50.7713   10.0000   20.0000
  7  13   -53.2089   -40.6171   10.0000   20.0000
  7  14   -42.5671   -30.4628   10.0000   20.0000
  7  15   -31.9253   -20.3085   10.0000   20.0000
  7  16   -21.2836   -10.1543   10.0000   20.0000
  7  17   -10.6418     0.0000   10.0000   20.0000
  7  18     0.0000    10.6418   10.0000   20.0000
  7  19    10.1543    21.2836   10.0000   20.0000
  7  20    20.3085    31.9253   10.0000   20.0000
  7  21    30.4628    42.5671   10.0000   20.0000
  7  22    40.6171    53.2089   10.0000   20.0000
  7  23    50.7713    63.8507   10.0000   20.0000
  7  24    60.9256    74.4924   10.0000   20.0000
  7  25    71.0799    85.1342   10.0000   20.0000
  7  26    81.2341    95.7760   10.0000   20.0000
  7  27    91.3884   106.4178   10.0000   20.0000
  7  28   101.5427   117.0596   10.0000   20.0000
  7  29   111.6969   127.7013   10.0000   20.0000
  7  30   121.8512   138.3431   10.0000   20.0000
  7  31   132.0055   148.9849   10.0000   20.0000
  7  32   142.1597   159.6267   10.0000   20.0000
  7  33   152.3140   170.2684   10.0000   20.0000
  7  34   162.4683   180.0000   10.0000   20.0000
  7  35   172.6225   180.0000   10.0000   20.0000
  8   0  -180.0000  -170.0000    0.0000   10.0000
  8   1  -172.6225  -160.0000    0.0000   10.0000
  8   2  -162.4683  -150.0000    0.0000   10.0000
  8   3  -152.3140  -140.0000    0.0000   10.0000
  8   4  -142.1597  -130.0000    0.0000   10.0000
  8   5  -132.0055  -120.0000    0.0000   10.0000
  8   6  -121.8512  -110.0000    0.0000   10.0000
  8   7  -111.6969  -100.0000    0.0000   10.0000
  8   8  -101.5427   -90.0000    0.0000   10.0000
  8   9   -91.3884   -80.0000    0.0000   10.0000
  8  10   -81.2341   -70.0000    0.0000   10.0000
  8  11   -71.0799   -60.0000    0.0000   10.0000
  8  12   -60.9256   -50.0000    0.0000   10.0000
  8  13   -50.7713   -40.0000    0.0000   10.0000
  8  14   -40.6171   -30.0000    0.0000   10.0000
  8  15   -30.4628   -20.0000    0.0000   10.0000
  8  16   -20.3085   -10.0000    0.0000   10.0000
  8  17   -10.1543     0.0000    0.0000   10.0000
  8  18     0.0000    10.1543    0.0000   10.0000
  8  19    10.0000    20.3085    0.0000   10.0000
  8  20    20.0000    30.4628    0.0000   10.0000
  8  21    30.0000    40.6171    0.0000   10.0000
  8  22    40.0000    50.7713    0.0000   10.0000
  8  23    50.0000    60.9256    0.0000   10.0000
  8  24    60.0000    71.0799    0.0000   10.0000
  8  25    70.0000    81.2341    0.0000   10.0000
  8  26    80.0000    91.3884    0.0000   10.0000
  8  27    90.0000   101.5427    0.0000   10.0000
  8  28   100.0000   111.6969    0.0000   10.0000
  8  29   110.0000   121.8512    0.0000   10.0000
  8  30   120.0000   132.0055    0.0000   10.0000
  8  31   130.0000   142.1597    0.0000   10.0000
  8  32   140.0000   152.3140    0.0000   10.0000
  8  33   150.0000   162.4683    0.0000   10.0000
  8  34   160.0000   172.6225    0.0000   10.0000
  8  35   170.0000   180.0000    0.0000   10.0000
  9   0  -180.0000  -170.0000  -10.0000    0.0000
  9   1  -172.6225  -160.0000  -10.0000    0.0000
  9   2  -162.4683  -150.0000  -10.0000    0.0000
  9   3  -152.3140  -140.0000  -10.0000    0.0000
  9   4  -142.1597  -130.0000  -10.0000    0.0000
  9   5  -132.0055  -120.0000  -10.0000    0.0000
  9   6  -121.8512  -110.0000  -10.0000    0.0000
  9   7  -111.6969  -100.0000  -10.0000    0.0000
  9   8  -101.5427   -90.0000  -10.0000    0.0000
  9   9   -91.3884   -80.0000  -10.0000    0.0000
  9  10   -81.2341   -70.0000  -10.0000    0.0000
  9  11   -71.0799   -60.0000  -10.0000    0.0000
  9  12   -60.9256   -50.0000  -10.0000    0.0000
  9  13   -50.7713   -40.0000  -10.0000    0.0000
  9  14   -40.6171   -30.0000  -10.0000    0.0000
  9  15   -30.4628   -20.0000  -10.0000    0.0000
  9  16   -20.3085   -10.0000  -10.0000    0.0000
  9  17   -10.1543     0.0000  -10.0000    0.0000
  9  18     0.0000    10.1543  -10.0000    0.0000
  9  19    10.0000    20.3085  -10.0000    0.0000
  9  20    20.0000    30.4628  -10.0000    0.0000
  9  21    30.0000    40.6171  -10.0000    0.0000
  9  22    40.0000    50.7713  -10.0000    0.0000
  9  23    50.0000    60.9256  -10.0000    0.0000
  9  24    60.0000    71.0799  -10.0000    0.0000
  9  25    70.0000    81.2341  -10.0000    0.0000
  9  26    80.0000    91.3884  -10.0000    0.0000
  9  27    90.0000   101.5427  -10.0000    0.0000
  9  28   100.0000   111.6969  -10.0000    0.0000
  9  29   110.0000   121.8512  -10.0000    0.0000
  9  30   120.0000   132.0055  -10.0000    0.0000
  9  31   130.0000   142.1597  -10.0000    0.0000
  9  32   140.0000   152.3140  -10.0000    0.0000
  9  33   150.0000   162.4683  -10.0000    0.0000
  9  34   160.0000   172.6225  -10.0000    0.0000
  9  35   170.0000   180.0000  -10.0000    0.0000
 10   0  -180.0000  -172.6225  -20.0000  -10.0000
 10   1  -180.0000  -162.4683  -20.0000  -10.0000
 10   2  -170.2684  -152.3140  -20.0000  -10.0000
 10   3  -159.6267  -142.1597  -20.0000  -10.0000
 10   4  -148.9849  -132.0055  -20.0000  -10.0000
 10   5  -138.3431  -121.8512  -20.0000  -10.0000
 10   6  -127.7013  -111.6969  -20.0000  -10.0000
 10   7  -117.0596  -101.5427  -20.0000  -10.0000
 10   8  -106.4178   -91.3884  -20.0000  -10.0000
 10   9   -95.7760   -81.2341  -20.0000  -10.0000
 10  10   -85.1342   -71.0799  -20.0000  -10.0000
 10  11   -74.4924   -60.9256  -20.0000  -10.0000
 10  12   -63.8507   -50.7713  -20.0000  -10.0000
 10  13   -53.2089   -40.6171  -20.0000  -10.0000
 10  14   -42.5671   -30.4628  -20.0000  -10.0000
 10  15   -31.9253   -20.3085  -20.0000  -10.0000
 10  16   -21.2836   -10.1543  -20.0000  -10.0000
 10  17   -10.6418     0.0000  -20.0000  -10.0000
 10  18     0.0000    10.6418  -20.0000  -10.0000
 10  19    10.1543    21.2836  -20.0000  -10.0000
 10  20    20.3085    31.9253  -20.0000  -10.0000
 10  21    30.4628    42.5671  -20.0000  -10.0000
 10  22    40.6171    53.2089  -20.0000  -10.0000
 10  23    50.7713    63.8507  -20.0000  -10.0000
 10  24    60.9256    74.4924  -20.0000  -10.0000
 10  25    71.0799    85.1342  -20.0000  -10.0000
 10  26    81.2341    95.7760  -20.0000  -10.0000
 10  27    91.3884   106.4178  -20.0000  -10.0000
 10  28   101.5427   117.0596  -20.0000  -10.0000
 10  29   111.6969   127.7013  -20.0000  -10.0000
 10  30   121.8512   138.3431  -20.0000  -10.0000
 10  31   132.0055   148.9849  -20.0000  -10.0000
 10  32   142.1597   159.6267  -20.0000  -10.0000
 10  33   152.3140   170.2684  -20.0000  -10.0000
 10  34   162.4683   180.0000  -20.0000  -10.0000
 10  35   172.6225   180.0000  -20.0000  -10.0000
 11   0  -999.0000  -999.0000  -99.0000  -99.0000
 11   1  -180.0000  -170.2684  -30.0000  -19.1875
 11   2  -180.0000  -159.6267  -30.0000  -20.0000
 11   3  -173.2051  -148.9849  -30.0000  -20.0000
 11   4  -161.6581  -138.3431  -30.0000  -20.0000
 11   5  -150.1111  -127.7013  -30.0000  -20.0000
 11   6  -138.5641  -117.0596  -30.0000  -20.0000
 11   7  -127.0171  -106.4178  -30.0000  -20.0000
 11   8  -115.4701   -95.7760  -30.0000  -20.0000
 11   9  -103.9231   -85.1342  -30.0000  -20.0000
 11  10   -92.3760   -74.4924  -30.0000  -20.0000
 11  11   -80.8290   -63.8507  -30.0000  -20.0000
 11  12   -69.2820   -53.2089  -30.0000  -20.0000
 11  13   -57.7350   -42.5671  -30.0000  -20.0000
 11  14   -46.1880   -31.9253  -30.0000  -20.0000
 11  15   -34.6410   -21.2836  -30.0000  -20.0000
 11  16   -23.0940   -10.6418  -30.0000  -20.0000
 11  17   -11.5470     0.0000  -30.0000  -20.0000
 11  18     0.0000    11.5470  -30.0000  -20.0000
 11  19    10.6418    23.0940  -30.0000  -20.0000
 11  20    21.2836    34.6410  -30.0000  -20.0000
 11  21    31.9253    46.1880  -30.0000  -20.0000
 11  22    42.5671    57.7350  -30.0000  -20.0000
 11  23    53.2089    69.2820  -30.0000  -20.0000
 11  24    63.8507    80.8290  -30.0000  -20.0000
 11  25    74.4924    92.3760  -30.0000  -20.0000
 11  26    85.1342   103.9231  -30.0000  -20.0000
 11  27    95.7760   115.4701  -30.0000  -20.0000
 11  28   106.4178   127.0171  -30.0000  -20.0000
 11  29   117.0596   138.5641  -30.0000  -20.0000
 11  30   127.7013   150.1111  -30.0000  -20.0000
 11  31   138.3431   161.6581  -30.0000  -20.0000
 11  32   148.9849   173.2051  -30.0000  -20.0000
 11  33   159.6267   180.0000  -30.0000  -20.0000
 11  34   170.2684   180.0000  -30.0000  -19.1875
 11  35  -999.0000  -999.0000  -99.0000  -99.0000
 12   0  -999.0000  -999.0000  -99.0000  -99.0000
 12   1  -999.0000  -999.0000  -99.0000  -99.0000
 12   2  -180.0000  -173.2051  -33.5542  -30.0000
 12   3  -180.0000  -161.6581  -40.0000  -30.0000
 12   4  -180.0000  -150.1111  -40.0000  -30.0000
 12   5  -169.7029  -138.5641  -40.0000  -30.0000
 12   6  -156.6489  -127.0171  -40.0000  -30.0000
 12   7  -143.5948  -115.4701  -40.0000  -30.0000
 12   8  -130.5407  -103.9231  -40.0000  -30.0000
 12   9  -117.4867   -92.3760  -40.0000  -30.0000
 12  10  -104.4326   -80.8290  -40.0000  -30.0000
 12  11   -91.3785   -69.2820  -40.0000  -30.0000
 12  12   -78.3244   -57.7350  -40.0000  -30.0000
 12  13   -65.2704   -46.1880  -40.0000  -30.0000
 12  14   -52.2163   -34.6410  -40.0000  -30.0000
 12  15   -39.1622   -23.0940  -40.0000  -30.0000
 12  16   -26.1081   -11.5470  -40.0000  -30.0000
 12  17   -13.0541     0.0000  -40.0000  -30.0000
 12  18     0.0000    13.0541  -40.0000  -30.0000
 12  19    11.5470    26.1081  -40.0000  -30.0000
 12  20    23.0940    39.1622  -40.0000  -30.0000
 12  21    34.6410    52.2163  -40.0000  -30.0000
 12  22    46.1880    65.2704  -40.0000  -30.0000
 12  23    57.7350    78.3244  -40.0000  -30.0000
 12  24    69.2820    91.3785  -40.0000  -30.0000
 12  25    80.8290   104.4326  -40.0000  -30.0000
 12  26    92.3760   117.4867  -40.0000  -30.0000
 12  27   103.9231   130.5407  -40.0000  -30.0000
 12  28   115.4701   143.5948  -40.0000  -30.0000
 12  29   127.0171   156.6489  -40.0000  -30.0000
 12  30   138.5641   169.7029  -40.0000  -30.0000
 12  31   150.1111   180.0000  -40.0000  -30.0000
 12  32   161.6581   180.0000  -40.0000  -30.0000
 12  33   173.2051   180.0000  -33.5542  -30.0000
 12  34  -999.0000  -999.0000  -99.0000  -99.0000
 12  35  -999.0000  -999.0000  -99.0000  -99.0000
 13   0  -999.0000  -999.0000  -99.0000  -99.0000
 13   1  -999.0000  -999.0000  -99.0000  -99.0000
 13   2  -999.0000  -999.0000  -99.0000  -99.0000
 13   3  -999.0000  -999.0000  -99.0000  -99.0000
 13   4  -180.0000  -169.7029  -43.7583  -40.0000
 13   5  -180.0000  -156.6489  -50.0000  -40.0000
 13   6  -180.0000  -143.5948  -50.0000  -40.0000
 13   7  -171.1296  -130.5407  -50.0000  -40.0000
 13   8  -155.5724  -117.4867  -50.0000  -40.0000
 13   9  -140.0151  -104.4326  -50.0000  -40.0000
 13  10  -124.4579   -91.3785  -50.0000  -40.0000
 13  11  -108.9007   -78.3244  -50.0000  -40.0000
 13  12   -93.3434   -65.2704  -50.0000  -40.0000
 13  13   -77.7862   -52.2163  -50.0000  -40.0000
 13  14   -62.2289   -39.1622  -50.0000  -40.0000
 13  15   -46.6717   -26.1081  -50.0000  -40.0000
 13  16   -31.1145   -13.0541  -50.0000  -40.0000
 13  17   -15.5572     0.0000  -50.0000  -40.0000
 13  18     0.0000    15.5572  -50.0000  -40.0000
 13  19    13.0541    31.1145  -50.0000  -40.0000
 13  20    26.1081    46.6717  -50.0000  -40.0000
 13  21    39.1622    62.2289  -50.0000  -40.0000
 13  22    52.2163    77.7862  -50.0000  -40.0000
 13  23    65.2704    93.3434  -50.0000  -40.0000
 13  24    78.3244   108.9007  -50.0000  -40.0000
 13  25    91.3785   124.4579  -50.0000  -40.0000
 13  26   104.4326   140.0151  -50.0000  -40.0000
 13  27   117.4867   155.5724  -50.0000  -40.0000
 13  28   130.5407   171.1296  -50.0000  -40.0000
 13  29   143.5948   180.0000  -50.0000  -40.0000
 13  30   156.6489   180.0000  -50.0000  -40.0000
 13  31   169.7029   180.0000  -43.7583  -40.0000
 13  32  -999.0000  -999.0000  -99.0000  -99.0000
 13  33  -999.0000  -999.0000  -99.0000  -99.0000
 13  34  -999.0000  -999.0000  -99.0000  -99.0000
 13  35  -999.0000  -999.0000  -99.0000  -99.0000
 14   0  -999.0000  -999.0000  -99.0000  -99.0000
 14   1  -999.0000  -999.0000  -99.0000  -99.0000
 14   2  -999.0000  -999.0000  -99.0000  -99.0000
 14   3  -999.0000  -999.0000  -99.0000  -99.0000
 14   4  -999.0000  -999.0000  -99.0000  -99.0000
 14   5  -999.0000  -999.0000  -99.0000  -99.0000
 14   6  -180.0000  -171.1296  -52.3292  -50.0000
 14   7  -180.0000  -155.5724  -56.2500  -50.0000
